Chlorinated	{"VERB": 2}
Endurance	{"NOUN": 6}
Analogs	{"NOUN": 1}
Devotional	{"ADJ": 1}
leave	{"VERB": 90, "NOUN": 7}
Diversity	{"NOUN": 35, "PROPN": 2}
spans	{"VERB": 4, "NOUN": 4}
Rosebay	{"ADJ": 1}
Scandiums	{"NOUN": 1}
contusions	{"NOUN": 1}
judiciously	{"ADV": 1}
H	{"NOUN": 5}
Lechs	{"NOUN": 1}
Deodorants	{"NOUN": 1}
cysteine	{"NOUN": 3}
crop	{"NOUN": 108}
recoveries	{"NOUN": 1}
Maxillary	{"ADJ": 1}
Autonomic	{"ADJ": 3}
Androgenic	{"ADJ": 1}
coherent	{"ADJ": 2}
petrel	{"NOUN": 1}
isotonic	{"ADJ": 1}
mongooses	{"NOUN": 2}
Unlawful	{"ADJ": 1}
periodicals	{"NOUN": 2}
steeples	{"NOUN": 1}
puttingthe	{"X": 1}
Lungfish	{"ADJ": 1}
Complement	{"ADJ": 1, "PROPN": 3}
retailers	{"NOUN": 1}
mildly	{"ADV": 4}
suppressing	{"VERB": 2}
classifiers	{"NOUN": 1}
geometry	{"NOUN": 21}
Coaxial	{"ADJ": 2}
butter	{"NOUN": 13}
nonliving	{"VERB": 5}
dragonflies	{"NOUN": 12}
gonorrhea	{"NOUN": 1}
Nopales	{"NOUN": 1}
cordials	{"NOUN": 1}
essence	{"NOUN": 30, "VERB": 1}
Send	{"VERB": 1}
Parrotfishes	{"NOUN": 1, "PROPN": 1}
Crystals	{"NOUN": 20}
chrome	{"NOUN": 2}
Valves	{"NOUN": 5, "PROPN": 1}
chinese	{"ADJ": 4}
harming	{"VERB": 2}
Trust	{"NOUN": 3}
decentralize	{"VERB": 2}
Heterosexuals	{"NOUN": 1}
Packaging	{"NOUN": 4}
Inventors	{"NOUN": 4}
wasters	{"NOUN": 1}
berry	{"NOUN": 6}
grapevine	{"NOUN": 1}
Coniferous	{"ADJ": 3}
dissipated	{"VERB": 1}
cheek	{"NOUN": 17}
Southeast	{"PROPN": 8, "ADJ": 1}
globes	{"NOUN": 2}
distilled	{"VERB": 4}
Gazelles	{"PROPN": 3, "NOUN": 4}
encephalopathy	{"ADJ": 1}
Men	{"NOUN": 146}
detonations	{"NOUN": 1}
Fax	{"NOUN": 3}
heron	{"NOUN": 1}
Bureaucracy	{"PROPN": 1}
Protocols	{"NOUN": 5}
Abas	{"PROPN": 1}
luxury	{"NOUN": 6}
Misfortune	{"PROPN": 1}
Broadcast	{"PROPN": 2, "NOUN": 1}
fair	{"ADJ": 11}
correct	{"VERB": 9, "ADJ": 12}
Tumors	{"NOUN": 14}
considers	{"VERB": 6}
teratogenic	{"ADJ": 4}
Helixs	{"NOUN": 1}
segregation	{"NOUN": 2}
fattiest	{"ADJ": 2}
interpreters	{"NOUN": 1}
First	{"ADJ": 11, "ADV": 1}
Rhodesian	{"ADJ": 1}
dogwood	{"NOUN": 4}
ownership	{"NOUN": 41}
Dalmatians	{"NOUN": 2}
periodontitis	{"NOUN": 1}
Chaffinches	{"NOUN": 1}
Clinker	{"PROPN": 1}
termed	{"VERB": 3}
blowflies	{"NOUN": 4}
conserve	{"VERB": 28, "ADJ": 1}
fennel	{"NOUN": 3}
representatives	{"NOUN": 8}
Artifacts	{"NOUN": 1}
Biplanes	{"NOUN": 1}
Greenwood	{"PROPN": 1}
Alfalfa	{"PROPN": 2}
Intrusion	{"NOUN": 2}
jumpy	{"ADJ": 1}
Databases	{"NOUN": 13}
Increases	{"NOUN": 3}
bactericide	{"NOUN": 1}
insufficiency	{"NOUN": 3}
Mints	{"NOUN": 3}
quiz	{"VERB": 1}
