origin_stem_word,counterfactual_stem_word,count,origin_word,counterfactual_word
man,boy,467,man,boys
peopl,men,260,people,men
woman,girl,250,woman,girl
person,man,129,person,man
person,woman,107,person,woman
peopl,kid,95,people,kids
person,boy,87,person,boys
woman,man,83,woman,man
man,woman,78,man,woman
person,girl,69,person,girl
boy,man,67,boys,man
coupl,group,66,couple,group
peopl,guy,66,people,guys
men,peopl,57,men,people
women,girl,56,Women,girl
men,boy,56,men,boys
girl,woman,53,girl,woman
motorcycl,car,50,motorcycle,car
tenni,basketbal,49,tennis,basketball
bu,car,47,bus,car
peopl,children,45,people,children
woman,player,42,woman,player
street,highway,38,street,highway
motorcycl,bike,37,motorcycle,bike
kitchen,room,37,kitchen,room
women,peopl,36,Women,people
truck,car,36,truck,car
cat,dog,36,cat,dogs
motorcycl,vehicl,36,motorcycle,vehicles
boy,girl,35,boys,girl
man,person,35,man,person
build,hous,34,building,house
person,kid,32,person,kids
peopl,student,32,people,students
guy,boy,31,guys,boys
dog,man,31,dogs,man
hors,dog,30,horse,dogs
child,girl,29,childs,girl
train,car,29,train,car
girl,boy,29,girl,boys
build,tree,29,building,tree
ladi,girl,28,ladies,girl
group,pair,27,group,pair
sign,light,27,sign,lights
woman,person,27,woman,person
bathroom,room,26,bathroom,room
bed,tabl,25,bed,table
man,girl,25,man,girl
child,man,24,childs,man
pizza,food,24,pizza,food
dog,cat,24,dogs,cat
person,child,24,person,childs
peopl,women,23,people,Women
bu,vehicl,23,bus,vehicles
motorcycl,bicycl,23,motorcycle,bicycle
tenni,volleybal,22,tennis,volleyball
cat,kitten,21,cat,kitten
live,dine,21,living,dining
children,peopl,21,children,people
peopl,girl,20,people,girl
girl,kid,20,girl,kids
coupl,bunch,20,couple,bunch
sink,stall,20,sink,stall
eleph,anim,19,elephant,animal
bear,dog,19,bears,dogs
court,beach,19,court,beach
pictur,selfi,19,picture,selfie
herd,pair,18,herd,pair
bike,car,18,bike,car
field,park,18,field,park
plate,bag,18,plate,bag
pizza,bread,18,pizza,Bread
bird,dog,18,bird,dogs
car,truck,18,car,truck
field,hill,18,field,hill
coupl,herd,17,couple,herd
tenni,soccer,17,tennis,soccer
man,kid,17,man,kids
cow,hors,17,cows,horse
person,guy,17,person,guys
peopl,boy,17,people,boys
stop,neon,17,Stop,neon
group,coupl,17,group,couple
fenc,tree,16,fence,tree
bu,truck,16,bus,truck
road,hill,16,road,hill
build,church,16,building,church
hay,grass,16,hay,grass
field,beach,15,field,beach
street,hill,15,street,hill
meter,lot,14,meter,lots
clock,water,14,clock,water
passeng,school,14,PASSENGER,school
pair,group,14,pair,group
build,car,13,building,car
food,meat,13,food,meat
pizza,plate,13,pizza,plate
rock,tree,13,rock,tree
street,bridg,13,street,bridge
bench,tree,12,bench,tree
train,bu,12,train,bus
bed,chair,12,bed,chairs
live,hotel,12,living,hotel
field,road,12,field,road
kid,girl,12,kids,girl
man,child,12,man,childs
chair,tree,12,chairs,tree
pizza,sandwich,12,pizza,sandwich
basebal,footbal,12,baseball,football
basebal,yanke,12,baseball,Yankees
hotel,live,12,hotel,living
tenni,golf,12,tennis,golf
grass,snow,11,grass,snow
children,girl,11,children,girl
bathroom,kitchen,11,bathroom,kitchen
build,home,11,building,home
bench,chair,11,bench,chairs
child,boy,11,childs,boys
plate,sandwich,11,plate,sandwich
field,forest,11,field,forest
food,water,11,food,water
grass,street,11,grass,street
bench,tabl,11,bench,table
bicycl,car,11,bicycle,car
couch,bed,11,couch,bed
beach,field,11,beach,field
clock,bell,11,clock,bell
