original_stem_word,counterfactual_stem_word,count
woman,girl,126
man,boy,125
peopl,men,116
person,man,93
person,woman,42
person,boy,37
coupl,group,36
peopl,guy,35
peopl,kid,33
person,girl,33
girl,woman,32
man,woman,30
men,peopl,29
peopl,student,27
woman,man,24
man,person,24
build,hous,23
men,boy,21
women,girl,21
boy,man,21
truck,car,19
child,girl,18
sink,stall,16
guy,boy,16
peopl,children,16
desk,tabl,15
coupl,herd,15
bu,car,15
ladi,girl,15
sign,light,15
motorcycl,car,15
street,highway,15
kitchen,room,14
person,kid,14
train,car,14
bed,chair,13
soccer,footbal,13
hotel,live,13
live,hotel,12
hay,grass,12
car,truck,12
basebal,yanke,12
bathroom,room,12
plate,bag,11
pictur,paint,11
motorcycl,bike,11
cat,kitten,11
eleph,anim,11
build,home,11
hors,dog,11
child,man,11
plate,box,11
coupl,bunch,11
person,child,11
bu,truck,10
field,hill,10
pictur,selfi,10
babi,child,10
dog,man,10
tabl,desk,10
build,tree,10
field,road,10
food,water,9
group,pair,9
street,hill,9
child,boy,9
boy,guy,9
zebra,lion,9
bike,car,9
field,park,9
light,sign,9
field,lawn,9
citi,manhattan,8
river,pond,8
live,dine,8
women,peopl,8
airplan,jet,8
pair,group,8
tour,school,8
bowl,jar,8
street,bridg,8
fenc,tree,8
road,hill,8
cat,dog,8
carriag,wagon,8
man,player,8
herd,pair,8
food,meat,8
snow,street,8
person,guy,8
plate,sandwich,8
cow,hors,8
peopl,women,7
man,girl,7
tree,water,7
bu,vehicl,7
group,coupl,7
peopl,boy,7
man,kid,7
toddler,boy,7
pizza,bread,7
plate,tray,7
road,freeway,7
children,girl,7
counter,tabl,7
woman,person,7
passeng,school,6
fire,water,6
hill,mountain,6
dog,cat,6
woman,player,6
flower,water,6
tabl,tray,6
tabl,restaur,6
peopl,friend,6
lot,garag,6
peopl,girl,6
person,student,6
river,lake,6
park,stone,6
plate,stick,6
truck,van,6
build,car,6
clock,tower,6
car,hous,6
bed,tabl,6
citi,school,6
tree,track,6
tie,hat,6
women,person,6
pizza,food,6
girl,kid,6
bench,tree,6
plane,jet,6
children,peopl,6
track,hill,6
child,babi,6
desktop,tablet,6
meter,lot,6
guy,kid,6
game,yanke,6
citi,london,6
girl,man,5
tree,hous,5
peopl,man,5
ramp,hill,5
fenc,hous,5
shirt,suit,5
bathroom,kitchen,5
cake,pie,5
desk,lab,5
shirt,hat,5
train,wagon,5
