Unnamed: 0,index,caption_1,caption_2,filename,type,image_id,source_file,destination_file,label_1,label_2,label_3,label,correct
0,11895,A young man skateboarding at a public park.,A young boy skateboarding at a public park.,7977_1,counterfactual,0,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/counter_images/7977_1.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/0.jpg,caption_2,caption_2,caption_2,caption_2,correct
1,6471,"A fish eye lens shows the corner of a busy city street with bikes, people and buildings.","A fish eye lens shows the corner of a busy Bangkok street with bikes, people and buildings.",184324_1,counterfactual,1,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/counter_images/184324_1.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/1.jpg,caption_1,caption_1,caption_1,caption_2,incorrect
2,3910,The airplane is flying near a cloud in the sky. ,The bird is flying near a cloud in the sky.,217060_0,original,2,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/origin_images/217060_0.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/2.jpg,caption_1,caption_1,caption_1,caption_1,correct
3,2561,a woman poses in front of a giant pizza,a man poses in front of a giant pizza,458992_0,counterfactual,3,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/counter_images/458992_0.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/3.jpg,caption_2,caption_2,caption_2,caption_2,correct
4,15921,A toddler with a toothbrush sitting on top of the lid of a toilet.,A boy with a toothbrush sitting on top of the lid of a toilet.,368212_4,counterfactual,4,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/counter_images/368212_4.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/4.jpg,both,both,caption_2,caption_2,both
5,20465,A woman's hand holding a crocheted iPhone cover.,A woman's hand holding a crocheted blanket cover.,343706_3,counterfactual,5,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/counter_images/343706_3.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/5.jpg,caption_2,caption_2,caption_2,caption_2,correct
6,14751,a couple of zebras that are running through some grass,a herd of zebras that are running through some grass,464872_0,original,6,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/origin_images/464872_0.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/6.jpg,neither,neither,caption_1,caption_1,neither
7,3925,A bicycle is standing next to a bed in a room.,A bicycle is standing next to a door in a room.,274687_0,counterfactual,7,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/counter_images/274687_0.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/7.jpg,caption_2,caption_2,caption_2,caption_2,correct
8,14612,A group of men that are on a field playing frisbee.,A group of men that are on a boat playing frisbee.,468632_3,counterfactual,8,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/counter_images/468632_3.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/8.jpg,caption_2,caption_2,caption_2,caption_2,correct
9,13815,Two zebras standing side by side in a field,Two zebras standing side by side in a zoo,364166_2,original,9,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/origin_images/364166_2.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/9.jpg,caption_1,neither,caption_1,caption_1,correct
