indices	origin_caption	counter_caption	BT_scores_org_pr_org_img	BT_scores_org_pr_counter_img	BT_scores_counter_pr_org_img	BT_scores_counter_pr_counter_img	BT_scores_org_pr_coco_img	BT_score_counter_pr_coco_img	BT_diff_per_origin_prompt_on_ldm	BT_diff_per_counter_prompt_on_ldm	BT_diff_per_origin_image_on_ldm	BT_diff_per_counter_image_on_ldm	BT_diff_per_origin_prompt_on_coco	BT_diff_per_counter_prompt_on_coco	BT_diff_per_coco_image	Clip_scores_org_pr_org_img	Clip_scores_org_pr_counter_img	Clip_scores_counter_pr_org_img	Clip_scores_counter_pr_counter_img	Clip_scores_org_pr_coco_img	Clip_score_counter_pr_coco_img	Clip_diff_per_origin_prompt_on_ldm	Clip_diff_per_counter_prompt_on_ldm	Clip_diff_per_origin_image_on_ldm	Clip_diff_per_counter_image_on_ldm	Clip_diff_per_origin_prompt_on_coco	Clip_diff_per_counter_prompt_on_coco	Clip_diff_per_coco_image	VILT_scores_org_pr_org_img	VILT_scores_org_pr_counter_img	VILT_scores_counter_pr_org_img	VILT_scores_counter_pr_counter_img	VILT_scores_org_pr_coco_img	VILT_score_counter_pr_coco_img	VILT_diff_per_origin_prompt_on_ldm	VILT_diff_per_counter_prompt_on_ldm	VILT_diff_per_origin_image_on_ldm	VILT_diff_per_counter_image_on_ldm	VILT_diff_per_origin_prompt_on_coco	VILT_diff_per_counter_prompt_on_coco	VILT_diff_per_coco_image
50331_0	The fresh vegetables are growing in the garden.	The fresh vegetables are growing in the greenhouse.	4.869325637817383	3.824932336807251	3.4964847564697266	5.773122787475586	3.220008611679077	2.249705076217652	1.0443933010101318	2.27663803100586	1.3728408813476562	1.948190450668335	-0.6049237251281738	3.5234177112579346	0.9703035354614258	29.835695266723636	26.44914436340332	27.845102310180664	29.02836799621582	29.46610450744629	29.885990142822266	3.3865509033203125	1.1832656860351562	1.9905929565429688	2.5792236328125	3.0169601440429688	-0.8576221466064453	-0.4198856353759765	7.453381538391113	5.540738582611084	7.311306953430176	9.668604850769045	7.015042304992676	6.28430700302124	1.9126429557800293	2.357297897338867	0.1420745849609375	4.127866268157959	1.4743037223815918	3.3842978477478027	0.7307353019714355
50331_1	Some vegetables on the ground are in planters.	Some plants on the ground are in planters.	5.572662830352783	4.58317232131958	3.972670555114746	4.607449531555176	5.483936309814453	4.823868274688721	0.9894905090332032	0.6347789764404297	1.599992275238037	0.0242772102355957	0.900763988494873	-0.2164187431335449	0.6600680351257324	27.52477264404297	26.229101181030277	24.44013023376465	26.20309257507324	27.594900131225582	24.467134475708008	1.295671463012695	1.7629623413085938	3.0846424102783203	-0.0260086059570312	1.3657989501953125	1.7359580993652344	3.127765655517578	9.461714744567873	6.950864315032959	8.415382385253906	9.158173561096191	8.491707801818848	7.605431079864502	2.510850429534912	0.7427911758422852	1.0463323593139648	2.2073092460632324	1.540843486785889	1.5527424812316897	0.8862767219543457
50331_2	Planters with growing broccoli in them on the ground 	Planters with growing vegetables in them on the ground	6.071696758270264	6.153209209442139	4.240208148956299	5.584670066833496	6.009208679199219	5.333914756774902	-0.081512451171875	1.3444619178771973	1.8314886093139648	-0.5685391426086426	-0.1440005302429199	0.2507553100585937	0.6752939224243164	29.841136932373047	27.5848388671875	25.5251407623291	28.36586570739746	29.193323135375977	26.62242126464844	2.256298065185547	2.84072494506836	4.315996170043945	0.7810268402099609	1.6084842681884766	1.7434444427490234	2.570901870727539	8.848627090454102	7.246776103973389	6.656025409698486	8.938807487487793	9.705092430114746	8.826096534729004	1.601850986480713	2.282782077789306	2.1926016807556152	1.6920313835144043	2.4583163261413574	0.112710952758789	0.8789958953857422
50331_3	Two clay pots with leafy green plants in them.	Two glass pots with leafy green plants in them.	6.036568641662598	4.705023765563965	5.288934230804443	6.197387218475342	5.865179538726807	2.394495248794556	1.3315448760986328	0.9084529876708984	0.7476344108581543	1.492363452911377	1.1601557731628418	3.802891969680786	3.470684289932251	34.34669494628906	30.722171783447266	32.8759765625	35.155208587646484	27.58324813842773	23.49044418334961	3.624523162841797	2.2792320251464844	1.4707183837890625	4.433036804199219	-3.1389236450195312	11.664764404296877	4.092803955078125	10.680099487304688	7.541487693786621	9.42993450164795	9.45450496673584	9.693997383117676	4.223570823669434	3.1386117935180664	0.0245704650878906	1.2501649856567385	1.9130172729492188	2.1525096893310547	5.230934143066406	5.470426559448242
50331_4	broccoli plants growing in brown planters near sand	broccoli plants growing in brown planters near downtown	6.315291881561279	5.315557956695557	5.646573543548584	6.117398738861084	6.348907947540283	5.8146185874938965	0.9997339248657228	0.4708251953125	0.6687183380126953	0.8018407821655273	1.0333499908447266	0.3027801513671875	0.5342893600463867	30.955183029174805	30.102174758911133	27.63545608520508	28.361528396606445	33.21449661254883	30.15611267089844	0.8530082702636719	0.7260723114013672	3.3197269439697266	-1.7406463623046875	3.1123218536376958	-1.7945842742919922	3.05838394165039	9.51032829284668	9.47469711303711	3.387105703353882	8.58049488067627	10.724457740783691	6.272201061248779	0.0356311798095703	5.193389177322388	6.123222589492798	-0.8942022323608398	1.249760627746582	2.3082938194274902	4.452256679534912
424642_1	two men in the middle of the woods playing frisbee golf.	two men in the middle of the street playing frisbee golf.	4.710846900939941	0.9543738961219788	-2.7011520862579346	5.332698345184326	6.0684895515441895	2.7996392250061035	3.756473004817962	8.03385043144226	7.411998987197876	4.378324449062347	5.114115655422211	2.5330591201782227	3.268850326538086	34.41520309448242	29.93665885925293	27.91806411743164	33.945011138916016	33.3155517578125	27.47800064086914	4.478544235229492	6.026947021484375	6.497138977050781	4.008352279663086	3.3788928985595703	6.467010498046875	5.837551116943359	10.011253356933594	-5.219081401824951	-0.1282697767019271	8.193906784057617	10.211682319641112	2.473180294036865	15.230334758758543	8.322176560759544	10.13952313363552	13.412988185882568	15.430763721466064	5.720726490020752	7.738502025604248
424642_3	Two guys plays an outdoor game with each other.	Two boys plays an outdoor game with each other.	4.603019237518311	3.5566651821136475	4.019037246704102	4.895374774932861	5.099472522735596	4.188189029693604	1.046354055404663	0.8763375282287598	0.583981990814209	1.338709592819214	1.5428073406219482	0.7071857452392578	0.9112834930419922	33.552085876464844	32.36894989013672	32.05482864379883	34.35193634033203	29.477039337158203	27.847129821777344	1.183135986328125	2.297107696533203	1.4972572326660156	1.9829864501953125	-2.891910552978516	6.504806518554688	1.6299095153808594	5.518062114715576	5.88933801651001	3.48937726020813	6.738662242889404	6.583685398101807	5.393764972686768	-0.3712759017944336	3.2492849826812744	2.0286848545074463	0.8493242263793945	0.6943473815917969	1.3448972702026367	1.189920425415039
424642_4	Young men playing disc golf in treed area of park.	Young man playing disc golf in treed area of park.	4.7277607917785645	3.1086933612823486	2.6868913173675537	4.301905155181885	6.146331310272217	4.064867973327637	1.6190674304962158	1.615013837814331	2.0408694744110107	1.193211793899536	3.037637948989868	0.237037181854248	2.08146333694458	32.64854431152344	30.0957088470459	29.58924102783203	32.288169860839844	31.67203140258789	30.29945182800293	2.552835464477539	2.6989288330078125	3.0593032836914062	2.1924610137939453	1.5763225555419922	1.988718032836914	1.372579574584961	7.503685474395752	0.22953462600708	3.205330610275269	6.552765846252441	9.013875961303713	5.353560924530029	7.274150848388672	3.347435235977173	4.298354864120483	6.323231220245361	8.78434133529663	1.199204921722412	3.6603150367736816
448365_1	Young skateboarder displaying skills on sidewalk near field.	Young skateboarder displaying skills on sidewalk near school.	2.754744529724121	2.1616573333740234	1.8983534574508667	3.601336002349853	2.4261536598205566	1.3678563833236694	0.5930871963500977	1.7029825448989868	0.8563910722732544	1.43967866897583	0.2644963264465332	2.233479619026184	1.0582972764968872	32.418758392333984	33.870689392089844	31.16764640808105	33.425750732421875	34.25494384765625	33.27937316894531	-1.4519309997558594	2.2581043243408203	1.2511119842529297	-0.4449386596679687	0.3842544555664062	0.1463775634765625	0.9755706787109376	2.7256124019622803	3.040020227432251	1.896031141281128	4.391227722167969	5.283496379852295	4.776597023010254	-0.3144078254699707	2.495196580886841	0.8295812606811523	1.3512074947357178	2.243476152420044	-0.3853693008422851	0.506899356842041
448365_2	A person on a skateboard on a street.	A kid on a skateboard on a street.	4.131696701049805	3.9893667697906494	4.179109573364258	4.560205936431885	-1.347377896308899	1.137004852294922	0.1423299312591552	0.3810963630676269	-0.0474128723144531	0.5708391666412354	-5.336744666099548	3.423201084136963	-2.484382748603821	31.62038993835449	31.357484817504883	29.692745208740234	30.42437744140625	28.815109252929688	30.187654495239254	0.2629051208496094	0.7316322326660156	1.9276447296142576	-0.9331073760986328	-2.5423755645751958	0.2367229461669922	-1.3725452423095703	7.597294807434082	7.434334754943848	4.7630934715271	5.51304817199707	-0.6578077673912048	1.805840015411377	0.1629600524902343	0.7499547004699707	2.8342013359069824	-1.9212865829467771	-8.092142522335052	3.707208156585693	-2.463647782802582
