image_path,caption
/export/share/datasets/COCO2017/val2017/000000001000.jpg,a large family poses for picture on tennis court
/export/share/datasets/COCO2017/val2017/000000246522.jpg,an ornate clock and watchtower on top of a building
/export/share/datasets/COCO2017/val2017/000000103548.jpg,Jogger running past a flock of sheep in a rural area
/export/share/datasets/COCO2017/val2017/000000454404.jpg,A lady is sitting on a bench barefooted while using her phone.
/export/share/datasets/COCO2017/val2017/000000179112.jpg,A young woman takes a self portrait in the mirror.
/export/share/datasets/COCO2017/val2017/000000384850.jpg,A palm tree shower curtain is shown in a small bathroom.
/export/share/datasets/COCO2017/val2017/000000151938.jpg,A person with a umbrella and a glass at a table.
/export/share/datasets/COCO2017/val2017/000000356424.jpg,A man looking happily at some dish in front of him.
/export/share/datasets/COCO2017/val2017/000000267434.jpg,A herd of cows are by a brick house.
/export/share/datasets/COCO2017/val2017/000000209757.jpg,A male skateboarder skateboards in an area with others
/export/share/datasets/COCO2017/val2017/000000256868.jpg,A man filming a person skateboarding on a wall.
/export/share/datasets/COCO2017/val2017/000000112110.jpg,a person standing on cement lift his leg over a brief case
/export/share/datasets/COCO2017/val2017/000000299720.jpg,A camel or a giraffe is playing with the camera-man. 
/export/share/datasets/COCO2017/val2017/000000382030.jpg,A wig sitting next to a pair of shoes on top of a table.
/export/share/datasets/COCO2017/val2017/000000504415.jpg,a big man running to hit a tennis ball
/export/share/datasets/COCO2017/val2017/000000339870.jpg,A tall church tower sitting on the side of a road.
/export/share/datasets/COCO2017/val2017/000000255747.jpg,A corned beef sandwich sits on a small plate.
/export/share/datasets/COCO2017/val2017/000000559956.jpg,Two women have stopped to pet the sheep.
/export/share/datasets/COCO2017/val2017/000000460683.jpg,A man is showing off his religious tie
/export/share/datasets/COCO2017/val2017/000000214753.jpg,Two people riding horses along the ocean beach.
/export/share/datasets/COCO2017/val2017/000000081394.jpg,A tan utility truck with a blue interior.
/export/share/datasets/COCO2017/val2017/000000289222.jpg,Street sign in the shape of a person riding a horse with a person under. 
/export/share/datasets/COCO2017/val2017/000000451435.jpg,A man with a tennis racket and ball is on a tennis court.
/export/share/datasets/COCO2017/val2017/000000333745.jpg,A woman with an umbrella is walking past a bus.
/export/share/datasets/COCO2017/val2017/000000561465.jpg,A box of doughnuts and some food on a plate.
/export/share/datasets/COCO2017/val2017/000000353051.jpg,The young woman is making a face at the horse.
/export/share/datasets/COCO2017/val2017/000000523811.jpg,A small bird perched on a piece of wood.
/export/share/datasets/COCO2017/val2017/000000001000.jpg,A group of kids posing for a picture on a tennis court.
/export/share/datasets/COCO2017/val2017/000000125472.jpg,A man flying through the air while riding a skateboard.
/export/share/datasets/COCO2017/val2017/000000054628.jpg,"A very ornate, three layered wedding cake in a banquet room."
/export/share/datasets/COCO2017/val2017/000000323709.jpg,Large commercial cargo plane sits on tarmac next to radar equipment.
/export/share/datasets/COCO2017/val2017/000000122962.jpg,A group of children sitting at a long table eating pizza.
/export/share/datasets/COCO2017/val2017/000000172649.jpg,A guy wear a short khaki pants and brown tee is on a skate board.
/export/share/datasets/COCO2017/val2017/000000085576.jpg,The toilet paper containers in this public restroom are empty and need to be refilled.
/export/share/datasets/COCO2017/val2017/000000151820.jpg,A group of people talking and sharing a meal in a restaurant.
/export/share/datasets/COCO2017/val2017/000000543581.jpg,a dog on a couch in a living room 
/export/share/datasets/COCO2017/val2017/000000303653.jpg,Group of people riding horseback along a dirt path
/export/share/datasets/COCO2017/val2017/000000029984.jpg,Four people are swimming in the sea with chairs on the beach.
/export/share/datasets/COCO2017/val2017/000000350019.jpg,A young boy pulling a brown bag of luggage.
/export/share/datasets/COCO2017/val2017/000000341469.jpg,A man standing next to suitcases and bags.
/export/share/datasets/COCO2017/val2017/000000163290.jpg,A giraffe standing next to a zebra on a field.
/export/share/datasets/COCO2017/val2017/000000308799.jpg,A picture of a very nice kitchen with the light on.
/export/share/datasets/COCO2017/val2017/000000513567.jpg,Two young women are eating hot dogs while walking down the sidewalk.
/export/share/datasets/COCO2017/val2017/000000301061.jpg,There is an elephant in side a truck trying to come out
/export/share/datasets/COCO2017/val2017/000000180878.jpg,Birthday gifts on table in a dark room.
/export/share/datasets/COCO2017/val2017/000000239843.jpg,a street sign on top of a stop sign
/export/share/datasets/COCO2017/val2017/000000095843.jpg,A blue and white double decker bus on side of street.
