image_path,caption
/export/share/datasets/COCO2017/val2017/000000179765.jpg,A black Honda motorcycle parked in front of a garage.
/export/share/datasets/COCO2017/val2017/000000179765.jpg,A Honda motorcycle parked in a grass driveway
/export/share/datasets/COCO2017/val2017/000000179765.jpg,A black Honda motorcycle with a dark burgundy seat.
/export/share/datasets/COCO2017/val2017/000000179765.jpg,Ma motorcycle parked on the gravel in front of a garage
/export/share/datasets/COCO2017/val2017/000000179765.jpg,A motorcycle with its brake extended standing outside
/export/share/datasets/COCO2017/val2017/000000190236.jpg,An office cubicle with four different types of computers.
/export/share/datasets/COCO2017/val2017/000000190236.jpg,The home office space seems to be very cluttered.
/export/share/datasets/COCO2017/val2017/000000190236.jpg,an office with desk computer and chair and laptop.
/export/share/datasets/COCO2017/val2017/000000190236.jpg,Office setting with a lot of computer screens.
/export/share/datasets/COCO2017/val2017/000000190236.jpg,A desk and chair in an office cubicle.
/export/share/datasets/COCO2017/val2017/000000331352.jpg,A small closed toilet in a cramped space.
/export/share/datasets/COCO2017/val2017/000000331352.jpg,A tan toilet and sink combination in a small room.
/export/share/datasets/COCO2017/val2017/000000331352.jpg,This is an advanced toilet with a sink and control panel.
/export/share/datasets/COCO2017/val2017/000000331352.jpg,A close-up picture of a toilet with a fountain.
/export/share/datasets/COCO2017/val2017/000000331352.jpg,Off white toilet with a faucet and controls. 
/export/share/datasets/COCO2017/val2017/000000517069.jpg,Two women waiting at a bench next to a street.
/export/share/datasets/COCO2017/val2017/000000517069.jpg,A woman sitting on a bench and a woman standing waiting for the bus.
/export/share/datasets/COCO2017/val2017/000000517069.jpg,A woman sitting on a bench in the middle of the city
/export/share/datasets/COCO2017/val2017/000000517069.jpg,A woman sitting on a bench and a woman standing behind the bench at a bus stop
/export/share/datasets/COCO2017/val2017/000000517069.jpg,A woman and another woman waiting at a stop.
/export/share/datasets/COCO2017/val2017/000000182417.jpg,A beautiful dessert waiting to be shared by two people
/export/share/datasets/COCO2017/val2017/000000182417.jpg,There is a piece of cake on a plate with decorations on it.
/export/share/datasets/COCO2017/val2017/000000182417.jpg,Creamy cheesecake dessert with whip cream and caramel.
/export/share/datasets/COCO2017/val2017/000000182417.jpg,An extravagant dessert on a plate overlooking the water.
/export/share/datasets/COCO2017/val2017/000000182417.jpg,This is a picture of an extremely fancy desert.
/export/share/datasets/COCO2017/val2017/000000046378.jpg,A cat eating a bird it has caught.
/export/share/datasets/COCO2017/val2017/000000046378.jpg,A white cat caught a bird outside on a patio.
/export/share/datasets/COCO2017/val2017/000000046378.jpg,Grey house cat devours a song bird on a door step
/export/share/datasets/COCO2017/val2017/000000046378.jpg,A long haired cat eating a dead bird.
/export/share/datasets/COCO2017/val2017/000000046378.jpg,A cat eating a dead bird on the ground.
/export/share/datasets/COCO2017/val2017/000000093437.jpg,A shot of an elderly man inside a kitchen.
/export/share/datasets/COCO2017/val2017/000000093437.jpg,An old man is wearing an odd hat
/export/share/datasets/COCO2017/val2017/000000093437.jpg,An older man is wearing a funny hat in his dining room.
/export/share/datasets/COCO2017/val2017/000000093437.jpg,A man in a jacket and hat looks at the camera.
/export/share/datasets/COCO2017/val2017/000000093437.jpg,An old man standing in a kitchen posing for a picture.
/export/share/datasets/COCO2017/val2017/000000172330.jpg,A cat in between two cars in a parking lot.
/export/share/datasets/COCO2017/val2017/000000172330.jpg,A cat stands between two parked cars on a grassy sidewalk. 
/export/share/datasets/COCO2017/val2017/000000172330.jpg,A cat at attention between two parked cars.
/export/share/datasets/COCO2017/val2017/000000172330.jpg,A grey and white cat watches from between parked cars.
/export/share/datasets/COCO2017/val2017/000000172330.jpg,A grey and white cat standing in the grass in a parking lot. 
/export/share/datasets/COCO2017/val2017/000000472678.jpg,An office cubicle with multiple computers in it
/export/share/datasets/COCO2017/val2017/000000472678.jpg,An office desk with two flat panel monitors.
/export/share/datasets/COCO2017/val2017/000000472678.jpg,"An office desk with two computer screens, books diagrams and a phone on it."
/export/share/datasets/COCO2017/val2017/000000472678.jpg,Two computer monitors are placed beside each other on a desk.
/export/share/datasets/COCO2017/val2017/000000472678.jpg,A desk with two monitors depicting security cameras.
/export/share/datasets/COCO2017/val2017/000000314251.jpg,A parade of motorcycles is going through a group of tall trees.
/export/share/datasets/COCO2017/val2017/000000314251.jpg,A group of motorcyclists drive down a tree lined street.
/export/share/datasets/COCO2017/val2017/000000314251.jpg,A group of motorcycles down a long street filled with trees on either side.
/export/share/datasets/COCO2017/val2017/000000314251.jpg,A group of people riding mopeds through a park.
/export/share/datasets/COCO2017/val2017/000000314251.jpg,A group of scooters rides down a street
/export/share/datasets/COCO2017/val2017/000000223747.jpg,a man sleeping with his cat next to him
/export/share/datasets/COCO2017/val2017/000000223747.jpg,A young man and his cute cat enjoy a nap together.
/export/share/datasets/COCO2017/val2017/000000223747.jpg,A man is sleeping with his head on a pillow.
/export/share/datasets/COCO2017/val2017/000000223747.jpg,Man sleeping in his bedroom next to a cat.
/export/share/datasets/COCO2017/val2017/000000223747.jpg,Man sleeping next to a cat on a bed. 
/export/share/datasets/COCO2017/val2017/000000109976.jpg,An all white kitchen with an electric stovetop. 
/export/share/datasets/COCO2017/val2017/000000109976.jpg,A white stove sits between two small counter tops.
/export/share/datasets/COCO2017/val2017/000000109976.jpg,Close up of a white kitchen setup with a coffee maker on counter.
/export/share/datasets/COCO2017/val2017/000000109976.jpg,A white stove and cabinet inside a kitchen.
/export/share/datasets/COCO2017/val2017/000000109976.jpg,This is a small kitchen with white cabinets and appliances.
/export/share/datasets/COCO2017/val2017/000000012667.jpg,The telephone has a banana where the receiver should be.
/export/share/datasets/COCO2017/val2017/000000012667.jpg,A banana replacing the phone on an answering machine
/export/share/datasets/COCO2017/val2017/000000012667.jpg,A phone with a banana where the receiver should be.
/export/share/datasets/COCO2017/val2017/000000012667.jpg,A telephone has it receiver replaced with a banana.
