image_path,caption
../../coco-counterfactuals/synthetic-images-for-original-captions/158956_0.jpg,A woman is cutting into a cake with a large knife.
../../coco-counterfactuals/synthetic-images-for-counterfactual-captions/158956_0.jpg,A baker is cutting into a cake with a large knife.
../../coco-counterfactuals/synthetic-images-for-original-captions/164602_4.jpg,A man and woman brushing their teeth and taking a selfie photo with a camera in a bathroom mirror.
../../coco-counterfactuals/synthetic-images-for-counterfactual-captions/164602_4.jpg,A man and woman brushing their teeth and taking a selfie photo with a dog in a bathroom mirror.
../../coco-counterfactuals/synthetic-images-for-original-captions/60823_0.jpg,Some cows that are wandering around a lot of pigeons.
../../coco-counterfactuals/synthetic-images-for-counterfactual-captions/60823_0.jpg,Some people that are wandering around a lot of pigeons.
../../coco-counterfactuals/synthetic-images-for-original-captions/279714_2.jpg,A baseball bat is in a window looking out over the street.
../../coco-counterfactuals/synthetic-images-for-counterfactual-captions/279714_2.jpg,A baseball bat is in a box looking out over the street.
../../coco-counterfactuals/synthetic-images-for-original-captions/375763_0.jpg,A very cute flock of sheep in a grassy field.
../../coco-counterfactuals/synthetic-images-for-counterfactual-captions/375763_0.jpg,A very cute pair of sheep in a grassy field.
../../coco-counterfactuals/synthetic-images-for-original-captions/490171_3.jpg,A man in a wet suit riding on a surfboard with a dog.
../../coco-counterfactuals/synthetic-images-for-counterfactual-captions/490171_3.jpg,A man in a wet suit riding on a horse with a dog.
../../coco-counterfactuals/synthetic-images-for-original-captions/474021_0.jpg,A couple of guys playing on the nintendo wii at a gathering. 
../../coco-counterfactuals/synthetic-images-for-counterfactual-captions/474021_0.jpg,A couple of guys playing on the nintendo wii at a party.
../../coco-counterfactuals/synthetic-images-for-original-captions/183437_3.jpg,a large elephant that has people sitting on top.
../../coco-counterfactuals/synthetic-images-for-counterfactual-captions/183437_3.jpg,a large elephant that has children sitting on top.
../../coco-counterfactuals/synthetic-images-for-original-captions/42296_0.jpg,a polar bear partially submerged in a body of water
../../coco-counterfactuals/synthetic-images-for-counterfactual-captions/42296_0.jpg,a polar bear partially submerged in a body of ice
../../coco-counterfactuals/synthetic-images-for-original-captions/414638_0.jpg,A white plate with a sliced up piece of food on top of it.
../../coco-counterfactuals/synthetic-images-for-counterfactual-captions/414638_0.jpg,A white board with a sliced up piece of food on top of it.
../../coco-counterfactuals/synthetic-images-for-original-captions/430961_2.jpg,A baseball player lunges and reaches back with the ball.
../../coco-counterfactuals/synthetic-images-for-counterfactual-captions/430961_2.jpg,A football player lunges and reaches back with the ball.
../../coco-counterfactuals/synthetic-images-for-original-captions/119452_0.jpg,a spotty banana sitting on top of an orange and some other fruit 
